"";"comuna_name";"edad";"hombres";"mujeres";"total"
"1";"Algarrobo";"20-24";357;360;717
"2";"Algarrobo";"25-29";419;412;831
"3";"Algarrobo";"30-34";446;359;805
"4";"Algarrobo";"35-39";343;327;670
"5";"Algarrobo";"40-44";352;337;689
"6";"Algarrobo";"45-49";350;297;647
"7";"Algarrobo";"50-54";369;351;720
"8";"Algarrobo";"55-59";341;305;646
"9";"Algarrobo";"60-64";247;275;522
"10";"Algarrobo";"65-69";236;244;480
"11";"Algarrobo";"70-74";147;153;300
"12";"Algarrobo";"75-80";235;261;496
"13";"Alhué";"20-24";200;186;386
"14";"Alhué";"25-29";195;174;369
"15";"Alhué";"30-34";234;201;435
"16";"Alhué";"35-39";233;188;421
"17";"Alhué";"40-44";229;186;415
"18";"Alhué";"45-49";219;157;376
"19";"Alhué";"50-54";177;133;310
"20";"Alhué";"55-59";165;122;287
"21";"Alhué";"60-64";139;126;265
"22";"Alhué";"65-69";132;106;238
"23";"Alhué";"70-74";98;74;172
"24";"Alhué";"75-80";117;133;250
"25";"Alto Biobío";"20-24";350;327;677
"26";"Alto Biobío";"25-29";337;285;622
"27";"Alto Biobío";"30-34";279;230;509
"28";"Alto Biobío";"35-39";275;165;440
"29";"Alto Biobío";"40-44";323;170;493
"30";"Alto Biobío";"45-49";267;144;411
"31";"Alto Biobío";"50-54";224;166;390
"32";"Alto Biobío";"55-59";174;135;309
"33";"Alto Biobío";"60-64";115;99;214
"34";"Alto Biobío";"65-69";81;81;162
"35";"Alto Biobío";"70-74";36;45;81
"36";"Alto Biobío";"75-80";61;79;140
"37";"Alto del Carmen";"20-24";246;197;443
"38";"Alto del Carmen";"25-29";220;173;393
"39";"Alto del Carmen";"30-34";231;177;408
"40";"Alto del Carmen";"35-39";205;146;351
"41";"Alto del Carmen";"40-44";237;132;369
"42";"Alto del Carmen";"45-49";247;180;427
"43";"Alto del Carmen";"50-54";232;154;386
"44";"Alto del Carmen";"55-59";232;192;424
"45";"Alto del Carmen";"60-64";239;162;401
"46";"Alto del Carmen";"65-69";187;129;316
"47";"Alto del Carmen";"70-74";125;103;228
"48";"Alto del Carmen";"75-80";205;183;388
"49";"Alto Hospicio";"20-24";3513;3806;7319
"50";"Alto Hospicio";"25-29";4213;4297;8510
"51";"Alto Hospicio";"30-34";4453;4675;9128
"52";"Alto Hospicio";"35-39";4358;4332;8690
"53";"Alto Hospicio";"40-44";3675;3316;6991
"54";"Alto Hospicio";"45-49";2892;2661;5553
"55";"Alto Hospicio";"50-54";2526;2185;4711
"56";"Alto Hospicio";"55-59";1869;1757;3626
"57";"Alto Hospicio";"60-64";1277;1165;2442
"58";"Alto Hospicio";"65-69";732;704;1436
"59";"Alto Hospicio";"70-74";419;412;831
"60";"Alto Hospicio";"75-80";345;536;881
"61";"Ancud";"20-24";1702;1582;3284
"62";"Ancud";"25-29";1456;1607;3063
"63";"Ancud";"30-34";1388;1425;2813
"64";"Ancud";"35-39";1617;1610;3227
"65";"Ancud";"40-44";1649;1716;3365
"66";"Ancud";"45-49";1633;1675;3308
"67";"Ancud";"50-54";1432;1434;2866
"68";"Ancud";"55-59";1249;1200;2449
"69";"Ancud";"60-64";915;942;1857
"70";"Ancud";"65-69";704;736;1440
"71";"Ancud";"70-74";529;623;1152
"72";"Ancud";"75-80";664;970;1634
"73";"Andacollo";"20-24";426;396;822
"74";"Andacollo";"25-29";367;412;779
"75";"Andacollo";"30-34";376;408;784
"76";"Andacollo";"35-39";401;399;800
"77";"Andacollo";"40-44";387;386;773
"78";"Andacollo";"45-49";392;350;742
"79";"Andacollo";"50-54";309;393;702
"80";"Andacollo";"55-59";337;325;662
"81";"Andacollo";"60-64";287;277;564
"82";"Andacollo";"65-69";210;226;436
"83";"Andacollo";"70-74";155;171;326
"84";"Andacollo";"75-80";288;320;608
"85";"Angol";"20-24";2063;2204;4267
"86";"Angol";"25-29";1934;2083;4017
"87";"Angol";"30-34";1618;1824;3442
"88";"Angol";"35-39";1666;1861;3527
"89";"Angol";"40-44";1903;2090;3993
"90";"Angol";"45-49";1932;2122;4054
"91";"Angol";"50-54";1788;1842;3630
"92";"Angol";"55-59";1404;1486;2890
"93";"Angol";"60-64";1168;1204;2372
"94";"Angol";"65-69";948;1018;1966
"95";"Angol";"70-74";707;909;1616
"96";"Angol";"75-80";882;1499;2381
"97";"Antártica";"20-24";3;2;5
"98";"Antártica";"25-29";26;9;35
"99";"Antártica";"30-34";20;0;20
"100";"Antártica";"35-39";35;3;38
"101";"Antártica";"40-44";22;2;24
"102";"Antártica";"45-49";28;0;28
"103";"Antártica";"50-54";11;0;11
"104";"Antártica";"55-59";2;0;2
"105";"Antártica";"60-64";4;0;4
"106";"Antártica";"65-69";0;0;0
"107";"Antártica";"70-74";0;0;0
"108";"Antártica";"75-80";0;0;0
"109";"Antofagasta";"20-24";16736;15258;31994
"110";"Antofagasta";"25-29";17635;14374;32009
"111";"Antofagasta";"30-34";15697;13162;28859
"112";"Antofagasta";"35-39";15105;12735;27840
"113";"Antofagasta";"40-44";14532;11812;26344
"114";"Antofagasta";"45-49";13580;11363;24943
"115";"Antofagasta";"50-54";12340;11322;23662
"116";"Antofagasta";"55-59";10180;9282;19462
"117";"Antofagasta";"60-64";7547;7209;14756
"118";"Antofagasta";"65-69";5073;5381;10454
"119";"Antofagasta";"70-74";3174;4028;7202
"120";"Antofagasta";"75-80";3618;6385;10003
"121";"Antuco";"20-24";156;150;306
"122";"Antuco";"25-29";121;117;238
"123";"Antuco";"30-34";109;108;217
"124";"Antuco";"35-39";122;133;255
"125";"Antuco";"40-44";116;142;258
"126";"Antuco";"45-49";124;135;259
"127";"Antuco";"50-54";101;142;243
"128";"Antuco";"55-59";142;104;246
"129";"Antuco";"60-64";122;121;243
"130";"Antuco";"65-69";101;78;179
"131";"Antuco";"70-74";85;77;162
"132";"Antuco";"75-80";109;102;211
"133";"Arauco";"20-24";1801;1646;3447
"134";"Arauco";"25-29";1639;1692;3331
"135";"Arauco";"30-34";1354;1430;2784
"136";"Arauco";"35-39";1298;1252;2550
"137";"Arauco";"40-44";1268;1312;2580
"138";"Arauco";"45-49";1348;1287;2635
"139";"Arauco";"50-54";1145;1148;2293
"140";"Arauco";"55-59";1003;844;1847
"141";"Arauco";"60-64";782;703;1485
"142";"Arauco";"65-69";527;594;1121
"143";"Arauco";"70-74";393;450;843
"144";"Arauco";"75-80";642;824;1466
"145";"Arica";"20-24";10001;9289;19290
"146";"Arica";"25-29";11022;9291;20313
"147";"Arica";"30-34";8642;8272;16914
"148";"Arica";"35-39";7728;7856;15584
"149";"Arica";"40-44";7759;7835;15594
"150";"Arica";"45-49";7100;7785;14885
"151";"Arica";"50-54";6559;6992;13551
"152";"Arica";"55-59";6278;5885;12163
"153";"Arica";"60-64";4724;4881;9605
"154";"Arica";"65-69";3745;4016;7761
"155";"Arica";"70-74";2550;2898;5448
"156";"Arica";"75-80";3128;4467;7595
"157";"Aysén";"20-24";1220;1124;2344
"158";"Aysén";"25-29";1234;900;2134
"159";"Aysén";"30-34";980;893;1873
"160";"Aysén";"35-39";1102;1075;2177
"161";"Aysén";"40-44";1100;976;2076
"162";"Aysén";"45-49";983;779;1762
"163";"Aysén";"50-54";986;768;1754
"164";"Aysén";"55-59";767;586;1353
"165";"Aysén";"60-64";552;490;1042
"166";"Aysén";"65-69";367;312;679
"167";"Aysén";"70-74";243;268;511
"168";"Aysén";"75-80";327;441;768
"169";"Buín";"20-24";3486;3459;6945
"170";"Buín";"25-29";3350;3307;6657
"171";"Buín";"30-34";3282;3240;6522
