"";"comuna_datachile_id";"candidato_id";"votos_candidato";"electo";"year";"election_id";"candidato";"region_id";"region_name";"comuna_name"
"54";2;6;15;0;2013;1;"Alfredo Sfeir Younis";13;"Region Metropolitana Santiago";"Alhue"
"55";2;1;1545;1;2013;2;"Michelle Bachelet Jeria";13;"Region Metropolitana Santiago";"Alhue"
"56";2;9;30;0;2013;1;"Votos En Blanco";13;"Region Metropolitana Santiago";"Alhue"
"57";2;2;445;0;2013;1;"Evelyn Matthei Fornet";13;"Region Metropolitana Santiago";"Alhue"
"58";2;8;24;0;2017;1;"Votos Nulos";13;"Region Metropolitana Santiago";"Alhue"
"59";3;8;47;0;2017;2;"Votos Nulos";8;"Bio Bio";"Alto Bio Bio"
"60";3;9;38;0;2017;1;"Votos En Blanco";8;"Bio Bio";"Alto Bio Bio"
"61";3;8;68;0;2017;1;"Votos Nulos";8;"Bio Bio";"Alto Bio Bio"
"62";3;8;117;0;2013;1;"Votos Nulos";8;"Bio Bio";"Alto Bio Bio"
"63";3;2;514;0;2013;1;"Evelyn Matthei Fornet";8;"Bio Bio";"Alto Bio Bio"
"64";3;5;39;0;2013;1;"Marcel Claude Reyes";8;"Bio Bio";"Alto Bio Bio"
"65";3;9;69;0;2013;1;"Votos En Blanco";8;"Bio Bio";"Alto Bio Bio"
"66";3;567;419;0;2017;1;"Alejandro Guillier Alvarez";8;"Bio Bio";"Alto Bio Bio"
"67";3;7;24;0;2013;1;"Roxana Miranda Meneses";8;"Bio Bio";"Alto Bio Bio"
"68";3;2550;1243;1;2017;2;" Sebastian Pinera Echenique";8;"Bio Bio";"Alto Bio Bio"
"69";3;561;80;0;2017;1;"Carolina Goic Boroevic";8;"Bio Bio";"Alto Bio Bio"
"70";3;2550;863;0;2017;1;" Sebastian Pinera Echenique";8;"Bio Bio";"Alto Bio Bio"
"71";3;9;17;0;2017;2;"Votos En Blanco";8;"Bio Bio";"Alto Bio Bio"
"72";3;8;96;0;2013;2;"Votos Nulos";8;"Bio Bio";"Alto Bio Bio"
"73";3;3;132;0;2013;1;"Marco Enriquez-Ominami Gumucio";8;"Bio Bio";"Alto Bio Bio"
"74";3;1;977;0;2013;1;"Michelle Bachelet Jeria";8;"Bio Bio";"Alto Bio Bio"
"75";3;3;53;0;2017;1;"Marco Enriquez-Ominami Gumucio";8;"Bio Bio";"Alto Bio Bio"
"76";3;1;1051;1;2013;2;"Michelle Bachelet Jeria";8;"Bio Bio";"Alto Bio Bio"
"77";3;2552;10;0;2017;1;"Eduardo Artes Brichetti";8;"Bio Bio";"Alto Bio Bio"
"78";3;10;30;0;2013;1;"Ricardo Israel Zipper";8;"Bio Bio";"Alto Bio Bio"
"79";3;11;14;0;2013;1;"Tomas Jocelyn-Holt Letelier";8;"Bio Bio";"Alto Bio Bio"
"80";3;535;32;0;2017;1;"Alejandro Navarro Brain";8;"Bio Bio";"Alto Bio Bio"
"81";3;2551;201;0;2017;1;"Beatriz Sanchez Munoz";8;"Bio Bio";"Alto Bio Bio"
"82";3;9;17;0;2013;2;"Votos En Blanco";8;"Bio Bio";"Alto Bio Bio"
"83";3;6;19;0;2013;1;"Alfredo Sfeir Younis";8;"Bio Bio";"Alto Bio Bio"
"84";3;2;649;0;2013;2;"Evelyn Matthei Fornet";8;"Bio Bio";"Alto Bio Bio"
"85";3;147;52;0;2017;1;"Jose Antonio Kast Rist";8;"Bio Bio";"Alto Bio Bio"
"86";3;567;701;0;2017;2;"Alejandro Guillier Alvarez";8;"Bio Bio";"Alto Bio Bio"
"87";3;4;143;0;2013;1;"Franco Aldo Parisi Fernandez";8;"Bio Bio";"Alto Bio Bio"
