"";"comuna_datachile_id";"candidato_id";"votos_candidato";"electo";"year";"election_id";"region_id"
"151";6;1;7902;0;2013;1;10
"152";6;2;4345;0;2013;1;10
"153";6;3;1299;0;2013;1;10
"154";6;9;40;0;2017;2;10
"155";6;5;427;0;2013;1;10
"156";6;6;249;0;2013;1;10
"157";6;9;215;0;2013;1;10
"158";6;10;79;0;2013;1;10
"159";6;11;26;0;2013;1;10
"160";6;567;3458;0;2017;1;10
"161";6;2550;5529;0;2017;1;10
"162";6;2551;3008;0;2017;1;10
"163";6;2552;91;0;2017;1;10
"164";6;4;1293;0;2013;1;10
"165";6;3;806;0;2017;1;10
"166";6;1;8434;1;2013;2;10
"167";6;2;5269;0;2013;2;10
"168";6;8;180;0;2013;2;10
"169";6;9;79;0;2013;2;10
"170";6;561;1057;0;2017;1;10
"171";6;8;210;0;2017;1;10
"172";6;9;161;0;2017;1;10
"173";6;147;1103;0;2017;1;10
"174";6;535;61;0;2017;1;10
"175";7;8;77;0;2013;1;4
"176";7;5;62;0;2013;1;4
"177";7;6;45;0;2013;1;4
"178";7;7;41;0;2013;1;4
"179";7;2;1017;0;2013;1;4
"180";7;3;369;0;2013;1;4
"181";7;8;42;0;2017;2;4
"182";7;9;21;0;2017;2;4
"183";7;567;3130;0;2017;2;4
"184";7;2550;2295;1;2017;2;4
"185";7;9;57;0;2013;1;4
"186";7;10;22;0;2013;1;4
"187";7;1;3594;0;2013;1;4
"188";7;1;3807;1;2013;2;4
"189";7;2;1153;0;2013;2;4
"190";7;4;438;0;2013;1;4
"191";7;3;281;0;2017;1;4
"192";7;8;64;0;2017;1;4
"193";7;9;48;0;2017;1;4
"194";7;147;99;0;2017;1;4
"195";7;535;14;0;2017;1;4
"196";7;11;6;0;2013;1;4
"197";7;2550;1702;0;2017;1;4
"198";7;2551;980;0;2017;1;4
"199";7;2552;37;0;2017;1;4
"200";7;9;20;0;2013;2;4
"201";7;561;322;0;2017;1;4
"202";7;567;1614;0;2017;1;4
"203";7;8;50;0;2013;2;4
"204";8;4;2476;0;2013;1;9
"205";8;5;272;0;2013;1;9
"206";8;6;193;0;2013;1;9
"207";8;11;60;0;2013;1;9
"208";8;9;233;0;2017;2;9
"209";8;8;283;0;2013;1;9
"210";8;9;174;0;2013;1;9
"211";8;1;11087;0;2013;1;9
"212";8;2;6407;0;2013;1;9
"213";8;3;1391;0;2013;1;9
"214";8;3;1066;0;2017;1;9
"215";8;8;244;0;2017;1;9
"216";8;9;181;0;2017;1;9
"217";8;7;244;0;2013;1;9
"218";8;1;11513;1;2013;2;9
"219";8;2;7896;0;2013;2;9
"220";8;10;102;0;2013;1;9
"221";8;8;135;0;2017;2;9
"222";8;567;3714;0;2017;1;9
"223";8;567;7184;0;2017;2;9
"224";8;2550;15791;1;2017;2;9
"225";8;2552;111;0;2017;1;9
"226";8;9;80;0;2013;2;9
"227";8;561;1218;0;2017;1;9
"228";8;8;192;0;2013;2;9
"229";8;2551;2334;0;2017;1;9
"230";8;535;52;0;2017;1;9
"231";8;2550;9302;0;2017;1;9
"232";8;147;3076;0;2017;1;9
"233";9;5;3053;0;2013;1;2
"234";9;9;339;0;2013;1;2
"235";9;4;22172;0;2013;1;2
"236";9;2;28109;0;2013;2;2
"237";9;6;1725;0;2013;1;2
"238";9;3;14689;0;2013;1;2
"239";9;8;842;0;2013;1;2
"240";9;9;212;0;2017;2;2
"241";9;567;49811;0;2017;2;2
"242";9;7;1007;0;2013;1;2
"243";9;2;20344;0;2013;1;2
"244";9;561;4108;0;2017;1;2
"245";9;567;24703;0;2017;1;2
"246";9;2550;58751;1;2017;2;2
"247";9;535;246;0;2017;1;2
"248";9;1;45246;1;2013;2;2
"249";9;1;37813;0;2013;1;2
"250";9;8;1472;0;2013;2;2
"251";9;9;405;0;2013;2;2
